subj_idx,flashpres,beeppres,response,rt,stimName,type
2.0,2.0,0.0,1.0,0.7110447699997167,F2,u
2.0,3.0,0.0,1.0,0.5645359650006867,F3,u
2.0,3.0,0.0,1.0,0.785584335000749,F3,u
2.0,2.0,0.0,1.0,0.6014292410000053,F2,u
2.0,3.0,0.0,0.0,1.156726355999126,F3,u
2.0,2.0,0.0,1.0,0.5101516799986712,F2,u
2.0,3.0,0.0,1.0,0.7377498780006135,F3,u
2.0,2.0,0.0,1.0,2.7661818230008066,F2,u
2.0,3.0,0.0,1.0,1.7985632960007933,F3,u
2.0,3.0,0.0,0.0,0.6575254390008922,F3,u
2.0,3.0,0.0,0.0,0.6456945879981504,F3,u
2.0,3.0,0.0,1.0,1.4341390459994727,F3,u
3.0,3.0,0.0,1.0,0.5286741009986144,F3,u
3.0,2.0,0.0,1.0,0.479800608001824,F2,u
3.0,2.0,0.0,1.0,0.6754958290002833,F2,u
3.0,2.0,0.0,1.0,0.7573581979995652,F2,u
3.0,2.0,0.0,1.0,0.8589157159985916,F2,u
3.0,3.0,0.0,0.0,0.6582767040017643,F3,u
3.0,3.0,0.0,0.0,2.1883403140018345,F3,u
3.0,3.0,0.0,1.0,0.3669655320009042,F3,u
3.0,3.0,0.0,1.0,0.43085947500003385,F3,u
3.0,2.0,0.0,1.0,0.5338465309978346,F2,u
3.0,3.0,0.0,1.0,0.3997953680009232,F3,u
3.0,3.0,0.0,1.0,0.6739607079980487,F3,u
3.0,2.0,0.0,1.0,0.6266757590019552,F2,u
3.0,3.0,0.0,1.0,0.2874152750009671,F3,u
3.0,2.0,0.0,1.0,0.5469687950026128,F2,u
3.0,3.0,0.0,0.0,0.6033275410009082,F3,u
3.0,3.0,0.0,1.0,0.28231165599936503,F3,u
3.0,3.0,0.0,1.0,0.43490654099878157,F3,u
3.0,2.0,0.0,1.0,0.5445782780006994,F2,u
3.0,2.0,0.0,0.0,0.862180043997796,F2,u
3.0,2.0,0.0,1.0,0.722709034998843,F2,u
3.0,2.0,0.0,1.0,0.6308885129983537,F2,u
3.0,2.0,0.0,1.0,0.5196710390009684,F2,u
3.0,2.0,0.0,1.0,0.48871922499893117,F2,u
3.0,3.0,0.0,0.0,0.705068150000443,F3,u
3.0,2.0,0.0,1.0,0.5594240950013045,F2,u
3.0,3.0,0.0,0.0,0.6472033230020315,F3,u
3.0,2.0,0.0,1.0,0.572366692002106,F2,u
3.0,2.0,0.0,1.0,0.5737254129999201,F2,u
3.0,3.0,0.0,1.0,0.280238322000514,F3,u
3.0,3.0,0.0,1.0,0.39248812399819144,F3,u
3.0,3.0,0.0,1.0,0.242728511999303,F3,u
3.0,3.0,0.0,0.0,0.8449471989988524,F3,u
3.0,2.0,0.0,1.0,0.48942861599789467,F2,u
3.0,3.0,0.0,1.0,0.7668287180022162,F3,u
3.0,3.0,0.0,1.0,0.6357541899997159,F3,u
3.0,2.0,0.0,1.0,0.582075692997023,F2,u
3.0,3.0,0.0,0.0,0.5071762490006222,F3,u
3.0,3.0,0.0,0.0,0.2491357489998336,F3,u
3.0,2.0,0.0,1.0,0.45573850300206686,F2,u
3.0,3.0,0.0,1.0,0.23574119599652477,F3,u
3.0,3.0,0.0,0.0,0.722158100001252,F3,u
3.0,2.0,0.0,1.0,0.5961484600011318,F2,u
3.0,2.0,0.0,1.0,0.7455825860015466,F2,u
3.0,3.0,0.0,0.0,1.527921463999519,F3,u
3.0,3.0,0.0,0.0,0.7116009860001213,F3,u
3.0,3.0,0.0,1.0,0.2903198300009535,F3,u
3.0,3.0,0.0,1.0,0.6634736169980897,F3,u
3.0,2.0,0.0,1.0,0.6492444790019363,F2,u
3.0,2.0,0.0,1.0,0.5796879990011803,F2,u
3.0,3.0,0.0,1.0,0.6554047829995397,F3,u
3.0,2.0,0.0,1.0,0.5859617150017584,F2,u
3.0,2.0,0.0,1.0,0.715023028998985,F2,u
3.0,3.0,0.0,0.0,0.6871698069990089,F3,u
3.0,3.0,0.0,0.0,0.47116594999897643,F3,u
3.0,3.0,0.0,0.0,0.5058037369999511,F3,u
3.0,3.0,0.0,1.0,0.38657218699881923,F3,u
3.0,3.0,0.0,1.0,0.27993798900206457,F3,u
3.0,3.0,0.0,0.0,0.4820877290003409,F3,u
3.0,2.0,0.0,1.0,0.5767157509981189,F2,u
3.0,3.0,0.0,0.0,0.47151362099975813,F3,u
3.0,3.0,0.0,0.0,0.3885352950019296,F3,u
3.0,3.0,0.0,0.0,0.6533179819998622,F3,u
3.0,2.0,0.0,1.0,0.4670952419983223,F2,u
3.0,2.0,0.0,1.0,0.5532214579980064,F2,u
3.0,3.0,0.0,0.0,0.7450885469988862,F3,u
3.0,3.0,0.0,0.0,0.538624863998848,F3,u
